CPT Code,Code Description,Non-Facility Difference,Non-Facility Rate,Facility Rate,Charge Amount,Units
99495,Face-to-Face post-discharge appointment (within 14 days of discharge),98.35,229.58,131.23,332,1
99496,Face-to-Face Post discharge appointment (within 7 days of discharge),132.93,310.69,177.76,448,1
G0180,Medicare-covered home health services under a home health plan of care (patient not present),NA,59.26,59.26,420,1
G2211, Add-on code for visits that build longitudinal relationships with patients ,3.02,18.34,15.32,103,1
99202,New patient appointment of at least 15 minutes,34.41,79,44.59,NA,
99203,New patient appointment of at least 30 minutes,46.32,125.16,78.84,NA,1
99204,New patient appointment of at least 45 minutes,60.76,188.76,128,598,1.5
99205,New patient appointment of at least 60 minutes,76.87,253.74,176.87,809,2
99211, Established patient appointment that doesn't require physician presence ,16.79,24.95,8.16,NA,1
99213,Established patient appointment of at least 20 minutes,37.93,99.63,61.7,251,1
99214,Established patient appointment of at least 30 minutes,51.36,142.45,91.09,365,1
99215,Established patient appointment of at least 40 minutes,67.14,202.59,135.45,382,1.5
99417, Code for first hour of additional time spent with patient on E&M services ,NA,NA,NA,211,1
G0438," Annual wellness visit, including personalized prevention plan of service, initial visit ",NA,182.72,182.72,420,1
G0439," Annual wellness visit, including personalized prevention plan of service, subsequent visit ",NA,144.03,144.03,251,1
